品牌,型号,类型,tags,上牌时间(年),里程数(万公里),价格(万)
雪佛兰,探界者 2019款 535T 自动领界版 国VI,自动,|0次过户|,2019,5.31,6.38
丰田,雷凌 2016款 1.6G CVT精英版,自动,|0次过户|,2015,7.2,3.88
别克,英朗 2018款 15T 双离合进取型 国V,自动,|0次过户|,2018,4.3,3.48
凯迪拉克,ATS(进口) 2012款 2.0T 自动,自动,|新上架||0次过户|,2012,8.5,2.69
长安,逸动 2015款 1.6L 自动精英型,自动,|0次过户|,2014,9.6,1.46
凯迪拉克,CT4 2022款 28T 风尚型,自动,|0次过户||原厂质保|,2021,4.2,11.58
奥迪,A4L 2013款 35 TFSI 自动舒适型,自动,|0次过户|,2013,10.6,5.68
红旗,H5 2018款 30TD 型动版,自动,|0次过户|,2018,7.2,4.68
吉利汽车,缤瑞 2018款 14T CVT缤致版,自动,|0次过户|,2017,5.3,3.5
大众,速腾 2015款 1.6L 自动舒适型,自动,|0次过户|,2015,8.3,3.68
吉利汽车,帝豪GL 2017款 1.3T DCT尊贵型,自动,|0次过户|,2018,6,2.88
丰田,雷凌 2019款 185T CVT进取版 国VI,自动,|0次过户|,2019,5.8,5.68
别克,君威 2014款 2.0L 精英时尚型,自动,,2013,9.5,2.47
大众,迈腾 2009款 2.0TSI DSG豪华型,自动,|0次过户|,2009,13.5,1.28
福特,蒙迪欧 2017款 EcoBoost 200 时尚型,自动,|0次过户|,2018,5.9,6.35
名爵,6 2020款 1.5T 自动Trophy数字曼巴智驾旗舰版,自动,|0次过户|,2020,5,4.78
领克,01 2017款 两驱基本型,变速箱,|新上架||0次过户|,2018,3.5,3.2
宝马,3系 2017款 320Li 时尚型,自动,|0次过户|,2017,10,10.98
奔驰,GLA 2015款 GLA 220 4MATIC 时尚型,自动,|0次过户|,2015,7.6,7.38
本田,凌派 2019款 180Turbo CVT豪华版 国V,自动,|0次过户|,2019,4.8,4.18
大众,宝来 2018款 1.5L 自动时尚型,自动,|0次过户|,2018,4,4.48
大众,桑塔纳 2021款 1.5L 自动风尚版,自动,|0次过户|,2021,3,4.38
广汽传祺,影豹 2022款 270T 影豹J16 Rstyle赛道版,自动,|新上架||0次过户||原厂质保|,2022,2.8,6.08
名爵,5 2021款 180DVVT CVT青春风尚版,自动,|0次过户|,2020,3.4,3.22
宝马,5系 2014款 525Li 豪华设计套装,自动,|新上架|,2013,13,9.48
凯迪拉克,CT4 2020款 28T 时尚型,自动,|0次过户|,2019,6.5,9.58
吉利汽车,帝豪 2020款 1.5L CVT豪华型,自动,|新上架||0次过户|,2020,3.8,3.48
奔驰,C级 2015款 C 200 运动版,自动,|0次过户|,2014,10.5,8.88
奥迪,A3 2018款 30周年年型 Limousine 35 TFSI 时尚型,自动,|新上架||0次过户|,2017,9,7.28
别克,英朗 2019款 15T 双离合互联精英型 国V,自动,|新上架||0次过户|,2018,4.8,3.58
菲亚特,菲翔 2012款 1.4T 自动劲享版,自动,|0次过户|,2011,9.7,0.99
大众,朗逸 2017款 1.6L 自动舒适版,自动,|0次过户|,2017,8,4.18
陆风,X7 2015款 2.0T 全景尊享版,自动,,2014,7.7,1.75
奔驰,GLK级 2013款 改款 GLK 300 4MATIC 时尚型,自动,|0次过户|,2014,10,7.38
奥迪,A6L 2017款 2.5 自动 30 FSI 舒适型,自动,|新上架|,2016,11,12.28
奔驰,C级 2018款 C 200 L 运动版,自动,|0次过户|,2018,5.2,15.58
日产,逍客 2016款 2.0L CVT精英版,自动,|0次过户|,2015,9,3.02
大众,甲壳虫 2015款 180TSI,自动,|0次过户|,2014,9.5,5.78
起亚,智跑 2014款 2.0L 自动两驱版GL,自动,,2013,9.7,2.63
理想汽车,理想ONE 2021款 增程6座版,自动,|新上架||0次过户|,2021,5,18.88
奇瑞,艾瑞泽GX 2019款 Pro 1.5T CVT型色版 国VI,自动,|新上架||0次过户|,2019,7.6,3.28
福特,福克斯 2009款 三厢 1.8L 自动时尚型,自动,|0次过户|,2010,12,1.38
吉利汽车,帝豪 2015款 三厢 1.5L 手动向上版,手动,|0次过户|,2016,8,1.78
哈弗,H7 2016款 蓝标H7 2.0T 自动豪华型,自动,|0次过户|,2017,11,5.6
领克,05 2020款 2.0TD 两驱耀Halo,自动,|新上架||0次过户|,2021,6,12.28
长安,奔奔MINI 2012款 1.0L 手动时尚版 国V,手动,|0次过户|,2016,8,1.08
标致,3008 2016款 1.6THP 自动标准版,自动,|0次过户|,2017,6,6.1
长安欧尚,A800 2017款 1.6L 手动精英型,手动,|0次过户|,2018,7,3.58
大众,速腾 2018款 1.6L 自动舒适型,自动,|0次过户|,2019,5.6,6.18
宝马,X5(进口) 2012款 xDrive35i 3.0 手自一体 典雅型,自动,|0次过户|,2013,15,9.58
福特,蒙迪欧 2013款 1.5L GTDi180舒适型,自动,|0次过户|,2016,7.5,6.38
中华,H330 2015款 1.5L 手动智享版,手动,|0次过户|,2015,8,1.58
标致,307 2012款 两厢 1.6L 自动舒适版,自动,|0次过户|,2012,9,1.28
长安凯程,欧诺S 2021款 1.5L欧诺S智享版双蒸空调客车JL473QG,手动,|准新车||0次过户||原厂质保|,2023,0.7,4.48
大众,迈腾 2012款 改款 1.8TSI 领先型,自动,|0次过户|,2013,9,4.38
长安凯程,长安之星9EV 2021款 纯电动厢式运输车2座55kW,自动,|0次过户|,2020,9,3.28
金杯,海狮 2014款 2.0L舒适型V19,手动,|新上架||0次过户|,2015,7.8,1.73
长安凯程,欧诺S 2014款 1.5L基本型,手动,|0次过户|,2017,8,1.38
长安凯程,长安之星2 2012款 1.0L基本型JL466Q9,手动,|0次过户|,2016,8,0.78
海马,S7 2013款 2.0 手动 两驱智尚版,手动,|新上架||0次过户|,2015,8,1.38
江淮,瑞风 2011款 2.8T穿梭 柴油标准版HFC4DA12B1,手动,,2012,10,1.88
金杯,新海狮X30L 2018款 1.5L商务版DLCG14,手动,|0次过户|,2018,6.8,1.98
福特,蒙迪欧致胜 2010款 2.3L 时尚型,自动,|0次过户|,2011,10,1.48
哈弗,H6 2018款 运动版 1.5T 自动两驱精英型 国V,自动,|0次过户|,2017,6,3.85
大众,高尔夫 2012款 1.4TSI 自动舒适型,自动,|新上架|,2012,12,2.48
大众,尚酷 2013款 2.0TSI GTS,自动,|0次过户|,2015,5.9,5.88
起亚,K3 2016款 1.6L 自动GLS,自动,|0次过户|,2017,6,3.58
丰田,卡罗拉 2014款 1.6L CVT GL,自动,|0次过户|,2015,10,3.53
奥迪,A4L 2013款 35 TFSI 自动舒适型,自动,|0次过户|,2014,9.8,5.88
大众,途观 2013款 1.8TSI 自动两驱风尚版,自动,,2012,11.4,5
吉利汽车,博瑞 2021款 1.8T 领航版+,自动,|0次过户|,2020,3.8,5.06
宝马,Z4 2010款 sDrive30i领先型,自动,,2009,11.3,6.58
马自达,阿特兹 2021款 2.5L 蓝天运动版,自动,|0次过户|,2020,6.58,8.88
福特,Mustang 2015款 2.3T 运动版,自动,|0次过户|,2014,7.3,8.56
福特,福克斯 2015款 两厢 1.6L 自动舒适型,自动,|新上架|,2015,10,3.28
别克,君威 2014款 2.0L 精英时尚型,自动,|0次过户|,2014,9,2.58
别克,君越 2014款 2.0T SIDI 智享旗舰型,自动,|0次过户|,2015,8.9,4.68
吉利汽车,帝豪GL 2017款 1.3T DCT精英型,自动,|0次过户|,2017,6,2.88
长安欧尚,X7 2020款 X7 1.5T 自动尊贵型,自动,|新上架||0次过户|,2019,6.8,4.88
吉利汽车,帝豪 2016款 三厢 1.5L CVT豪华型,自动,|新上架||0次过户|,2016,8.1,1.98
别克,君越 2011款 2.4L SIDI舒适版,自动,,2010,14.6,1.48
奥迪,A4L 2013款 35 TFSI 自动标准型,自动,|0次过户|,2012,9.3,4.72
丰田,RAV4荣放 2021款 2.0L CVT两驱都市版,自动,|0次过户|,2020,5.4,9.38
大众,一汽CC 2019款 330TSI 华颜版 国V,自动,|新上架||0次过户|,2019,6,10.2
大众,尚酷 2014款 1.4TSI 竞驰版,自动,|0次过户|,2013,9.5,4.88
现代,领动 2018款 1.4T 双离合炫动·活力型,自动,|新上架||0次过户|,2018,5,4.33
丰田,雷凌 2019款 双擎 1.8H ECVT进取版 国V,自动,|0次过户|,2019,8,6.48
纳智捷,优6 SUV 2017款 1.8T 科技超值型,自动,|0次过户|,2016,5.3,2.39
起亚,KX5 2016款 1.6T 自动两驱Premium,自动,|0次过户|,2017,8.5,5.28
丰田,RAV4荣放 2016款 2.0L CVT两驱都市版 国V,自动,|0次过户|,2016,8,6.38
汉腾汽车,汉腾X7 2018款 X7S 2.0T DCT尊享型,自动,|0次过户|,2018,6.2,2.6
现代,名图 2017款 1.6T 自动智能型GLS 国V,自动,|0次过户|,2016,7.3,4.54
纳智捷,优6 SUV 2015款 1.8T 新创升级型,自动,|0次过户|,2014,7,1.68
凯迪拉克,ATSL 2017款 28T 时尚型,自动,|0次过户|,2019,5.8,7.88
阿尔法·罗密欧,Stelvio斯坦维 2017款 2.0T 200HP 豪华版,自动,|新上架||0次过户|,2017,8.6,12.38
比亚迪,S7 2015款 2.0T 自动 豪华型七座前驱TID,自动,|0次过户|,2014,10.2,1.7
奥迪,Q5L 2018款 40 TFSI 荣享时尚型 国V,自动,|新上架||0次过户|,2018,5.3,15.2
起亚,K3 2016款 1.6L 自动GL,自动,|新上架||0次过户|,2016,5,3.28
长安,逸动 2019款 高能版 1.6L GDI 自动先锋型 国VI,自动,|0次过户|,2019,5.3,3.62
铃木,雨燕 2014款 1.5L 自动时尚型,自动,,2014,8.8,2.45
DS,5LS 2016款 1.6T 风尚版THP160,自动,|新上架||0次过户|,2016,6,3
荣威,i6 2018款 16T 自动旗舰版,自动,|0次过户|,2017,5,2.5
雪佛兰,迈锐宝 2017款 1.5T 自动舒适版,自动,|0次过户|,2016,6.5,3.88
捷途,X70 2021款 1.5T DCT特供I版 5座,自动,|0次过户|,2021,3.8,4.38
斯柯达,柯迪亚克 2018款 TSI330 5座两驱舒适版,自动,|0次过户|,2018,6.5,6.28
宝马,5系 2011款 520Li 典雅型,自动,|0次过户|,2011,10.8,5.86
沃尔沃,XC60 2021款 T5 四驱智逸运动版,自动,|0次过户|,2020,3,16.8
众泰,T800 2018款 2.0T 自动尊享智联型 7座,自动,|0次过户|,2018,5,2.95
日产,逍客 2017款 2.0L CVT智享版 国V,自动,|0次过户|,2019,7.1,5.8
奥迪,A6L 2014款 TFSI 标准型,自动,,2013,12.3,8.38
大众,探岳 2020款 330TSI 两驱豪华智联版Pro,自动,|0次过户|,2020,8.5,10.05
名爵,HS 2018款 20T 自动两驱荷尔蒙劲取版 国V,自动,|0次过户|,2018,5,3.5
铃木,雨燕 2013款 1.5L 自动标准版,自动,|0次过户|,2012,10.5,1.93
大众,朗逸 2019款 1.5L 自动风尚版 国VI,自动,|0次过户|,2018,5,3.31
奇瑞,艾瑞泽5 2016款 1.5L CVT领臻版,自动,|0次过户|,2016,8,2.08
纳智捷,优6 SUV 2015款 1.8T 时尚升级型,自动,|0次过户|,2015,7,1.58
大众,朗逸 2009款 2.0L 自动品悠版,自动,|0次过户|,2008,9,0.98
启辰,D60 2019款 十荣耀 1.6L XV CVT辰悦版 国V,自动,|0次过户|,2019,3,3.58
现代,名图 2019款 1.8L 自动智能型GLS 国VI,自动,|0次过户|,2019,8,6.38
宝马,5系 2019款 530Li 领先型 M运动套装,自动,|0次过户|,2019,5,22.58
奔驰,A级(进口) 2015款 A 200 时尚型,自动,|0次过户|,2014,9.6,5.18
吉利汽车,星越L 2021款 2.0TD DCT EVO两驱尊贵型,自动,|0次过户||原厂质保|,2021,2.8,7.48
现代,索纳塔 2013款 2.0L 自动尊贵版,自动,|0次过户|,2012,9,2.6
起亚,K3 2021款 1.5L CVT时尚版,自动,|0次过户|,2021,2,5.48
日产,奇骏 2019款 2.0L CVT智联舒适版 2WD,自动,|0次过户|,2019,7,9.18
魏牌,VV5 2019款 升级款 2.0T 两驱超豪型,自动,|0次过户|,2019,4.5,4.98
起亚,智跑 2018款 2.0L 自动智享豪华版 国V,自动,|0次过户|,2017,5,5.3
长安,CS75 PLUS 2022款 第二代 1.5T 自动领航型,自动,|0次过户||原厂质保|,2021,4.5,6.88
吉利汽车,博瑞 2018款 1.5T MHEV 耀动版,自动,|0次过户|,2019,5.4,4.48
东南,DX3 2018款 1.5T CVT尊贵型,自动,|0次过户|,2018,7,2.88
大众,高尔夫 2015款 1.4TSI 自动舒适型,自动,,2014,9.2,3.98
众泰,SR9 2017款 2.0T 自动极致之巅版,自动,|0次过户|,2018,6.5,3.38
现代,菲斯塔 2019款 280TGDi 智速版 国V,自动,|0次过户|,2019,5.2,6.18
起亚,KX5 2016款 1.6T 自动两驱GL,自动,|0次过户|,2016,6,4.3
现代,途胜 2018款 1.6T 双离合两驱15周年特别版,自动,|0次过户|,2018,5.6,5.88
三菱,翼神 2012款 经典 2.0L CVT黑白版,自动,|0次过户|,2011,11.6,2.08
宝马,5系 2014款 530Li 豪华设计套装,自动,|0次过户|,2013,10.8,9.5
大众,迈腾 2013款 2.0TSI 豪华型,自动,|0次过户|,2012,10.5,4.3
大众,一汽CC 2012款 1.8TSI 尊贵型,自动,|0次过户|,2014,9,3.8
日产,天籁 2008款 公爵 3.5L XV VIP至尊版,自动,|0次过户|,2008,13,2
马自达,3 2010款 1.6L 自动经典时尚型,自动,|0次过户|,2009,9,1.38
长安,CS75 2017款 尚酷版 1.5T 自动锋享型,自动,|0次过户|,2017,7,3.68
长安欧尚,X5 2021款 1.5T DCT精英型,自动,|0次过户|,2020,3.5,3.08
名爵,MG5 2021款 180DVVT CVT青春旗舰版,变速箱,|0次过户||原厂质保|,2021,3.3,2.3
大众,迈腾 2013款 1.8TSI 豪华型,自动,|0次过户|,2013,9.8,4.48
吉利汽车,星瑞 2021款 2.0TD 尊贵型,自动,|0次过户||原厂质保|,2021,3.2,6.89
奔驰,C级 2015款 改款 C 180 L 运动型,自动,|0次过户|,2014,8.6,8.95
大众,一汽CC 2012款 1.8TSI 尊贵型,自动,,2011,13.2,3.28
宝骏,510 2019款 1.5L 自动乐享型 国V,自动,|0次过户|,2019,6.5,2.99
长安,UNIK 2021款 2.0T 豪华型,自动,|0次过户||原厂质保|,2021,5.3,6.1
哈弗,H6 2018款 红标 运动版 1.5T 自动两驱精英型,自动,|0次过户|,2018,6,4.25
丰田,卡罗拉 2021款 双擎 1.8L ECVT精英版,自动,|0次过户|,2020,3.6,7.98
雪佛兰,科帕奇 2014款 2.4L 两驱城市版 7座,自动,,2013,8.5,2.68
宝马,5系(进口) 2014款 基本型,自动,|新上架||0次过户|,2015,7.5,5.5
日产,轩逸 2018款 1.6XV CVT尊享版,自动,|新上架||0次过户|,2018,5.7,4.88
日产,骐达TIIDA 2020款 1.6L CVT智享版,自动,|0次过户|,2021,3,5.48
名爵,MG6 2021款 Pro 1.5T 自动领潮豪华版,自动,|0次过户||原厂质保|,2021,3.1,4.8
大众,帕萨特 2011款 1.8TSI 自动尊荣版,自动,,2010,15.3,2.48
宝马,X5(进口) 2011款 xDrive35i 领先型,自动,,2010,11.5,5.38
大众,帕萨特领驭 2009款 1.8T 自动尊杰型,自动,|0次过户|,2009,11.3,1.12
宝马,5系 2017款 525Li 领先型,自动,|0次过户|,2017,5.1,14.88
本田,CRV 2013款 2.4L 四驱豪华版,自动,|0次过户|,2012,11.8,4.55
雪佛兰,迈锐宝 2018款 530T 自动舒适版,自动,|0次过户|,2019,7.8,4.38
奔驰,C级 2016款 C 200 运动版,自动,|0次过户|,2017,8.9,11.18
宝马,5系 2011款 520Li 典雅型,自动,|0次过户|,2010,12.6,5.75
比亚迪,秦PLUS 2021款 DMi 55KM 旗舰型,自动,|0次过户|,2021,3,5.5
标致,508 2015款 2.0L 自动致逸版,自动,|新上架||0次过户|,2015,6.5,3.5
捷途,X70 2021款 诸葛 1.6T DCT军师 5座,自动,|0次过户|,2020,3.3,5.25
宝马,X5(进口) 2008款 xDrive30i豪华型,自动,|0次过户|,2007,12,3.58
沃尔沃,XC60 2015款 T5 智行版,自动,|0次过户|,2015,9.8,6.28
别克,英朗 2017款 15N 自动进取型,自动,|0次过户|,2016,8,2.21
宝马,5系 2018款 530Li 领先型 M运动套装,自动,|新上架||0次过户|,2018,10,19.88
本田,飞度 2014款 1.5L LX CVT舒适型,自动,|0次过户|,2013,8,2.6
福特,福克斯 2021款 三厢 EcoBoost 180 自动ST Line,自动,|0次过户||原厂质保|,2021,2,6.88
马自达,睿翼 2012款 2.0L 自动精英版,自动,|0次过户|,2013,13,2.48
奥迪,Q3 2018款 30周年年型 30 TFSI 时尚型,自动,|0次过户|,2018,6.2,9.28
奔驰,C级 2010款 C 200K 时尚型,自动,|0次过户|,2009,11,2.58
奥迪,A4L 2018款 30周年年型 40 TFSI 时尚型,自动,|0次过户|,2018,5,9.12
宝马,3系 2016款 320i 时尚型,自动,|0次过户|,2015,7,8.68
众泰,SR9 2017款 2.0T 自动极致之路版,自动,|0次过户|,2018,6.8,2.48
奔驰,C级(进口) 2016款 C 200 轿跑版,自动,||检测报告||有VIN码|,2016,9.03,17.68
奔驰,E级 2019款 E 260 L 运动型,自动,||检测报告||有VIN码||新上架|,2019,8.14,27.88
极氪,001 2023款 WE版 86kWh,自动,||检测报告||有VIN码||准新车||新上架||原厂质保|,2023,2.73,21.3
奔驰,GLC 2019款 GLC 260 L 4MATIC 豪华型,自动,||检测报告||有VIN码|,2019,7.95,25.88
奔驰,GLC 2019款 GLC 260 L 4MATIC 豪华型,自动,||检测报告||有VIN码|,2019,7.95,25.88
雪佛兰,创酷 2014款 1.4T 自动两驱舒适型,自动,||检测报告||有VIN码|,2014,5.64,3.68
特斯拉,Model Y 2022款 长续航全轮驱动版,自动,||检测报告||有VIN码||准新车||原厂质保|,2023,1.35,26.8
宝马,X1 2015款 xDrive20i 时尚晋级版,自动,||检测报告||有VIN码|,2015,10.39,6.98
福特,蒙迪欧 2023款 EcoBoost 245 豪华型,自动,||检测报告||有VIN码||准新车||原厂质保|,2024,0.04,15.9
哈弗,二代大狗新能源 2023款 DHTPHEV 105km 潮电版Plus,自动,||检测报告||有VIN码||原厂质保|,2023,4.25,12.98
哈弗,二代大狗新能源 2023款 DHTPHEV 105km 潮电版Plus,自动,||检测报告||有VIN码||原厂质保|,2023,4.25,12.98
宝马,5系 2022款 改款 525Li M运动套装,自动,||检测报告||有VIN码||新上架||原厂质保|,2022,2.62,29.38
别克,英朗 2021款 改款 1.3T 自动轻混动精英型,自动,||检测报告||有VIN码||原厂质保|,2021,2.82,5.98
捷豹,XFL 2022款 XFL 2.0T P200 两驱精英豪华版,自动,||检测报告||有VIN码||原厂质保|,2022,2.48,23.68
福特,探险者 2022款 EcoBoost 285 四驱三十周年纪念版 7座,自动,||检测报告||有VIN码||准新车||原厂质保|,2022,0.32,30.0
广汽传祺,传祺GS4 2020款 270T 自动精英科技版,自动,||检测报告||有VIN码|,2021,2.91,7.58
沃尔沃,XC60 2023款 B5 四驱智逸豪华版,自动,||检测报告||有VIN码||准新车||新上架||原厂质保|,2022,2.92,24.8
大众,速腾 2011款 1.4TSI 自动技术型,自动,||检测报告||有VIN码|,2011,11.08,2.88
特斯拉,Model 3 2021款 标准续航后驱升级版,自动,||检测报告||有VIN码||原厂质保|,2021,2.38,16.0
长安,CS35 2017款 1.6L 自动豪华型,自动,||检测报告||有VIN码|,2017,10.63,3.98
魏牌,VV6 2021款 2.0T 两驱智享+,自动,||检测报告||有VIN码|,2020,1.27,9.68
别克,昂科威 2017款 28T 四驱精英型,自动,||检测报告||有VIN码|,2017,8.07,8.68
别克,昂科威 2017款 28T 四驱精英型,自动,||检测报告||有VIN码|,2017,8.07,8.68
长安,CS75 PLUS 2021款 2.0T 自动旗舰型,自动,||检测报告||有VIN码||原厂质保|,2021,7.24,7.0
路虎,发现 2016款 3.0 SC V6 HSE,自动,||检测报告||有VIN码||0次过户|,2017,7,46.8
宝马,X1 2020款 sDrive25Li 领先型,自动,||检测报告||有VIN码|,2020,7.75,16.88
丰田,威兰达 2020款 2.0L CVT两驱豪华版,自动,|有VIN码||0次过户|,2020,6.2,10.68
依维柯,得意 2017款 2.5T A35客车57座47Z5,手动,|有VIN码||新上架|,2018,8.4,4.88
本田,XRV 2017款 1.8L EXi CVT舒适版,自动,|有VIN码||0次过户|,2017,9.1,6.98
猎豹汽车,猎豹CS9 2018款 1.5T CVT劲朗型,自动,|有VIN码||0次过户|,2018,5,3.28
长安,奔奔EV 2018款 EV260 标准型,自动,|有VIN码|,2018,4.1,2.7
路虎,发现神行 2017款 2.0T HSE LUXURY,自动,|有VIN码||0次过户|,2017,12.5,13.5
大众,宝来 2015款 质惠版 1.6L 自动舒适型,自动,|有VIN码||0次过户|,2015,8.4,4.68
长安凯程,欧诺S 2017款 1.5L欧诺S标准型EA15AB,手动,|有VIN码||新上架||0次过户|,2018,5,2.88
奥迪,Q7 2010款 3.6 FSI quattro 基本型,自动,|有VIN码||0次过户|,2010,20,7.38
广汽传祺,传祺M8 2020款 领航款 390T 至尊版,自动,|有VIN码||新上架||0次过户|,2020,6,13.88
标致,301 2014款 1.6L 自动舒适版,自动,|有VIN码||0次过户|,2015,8.5,2.58
吉利汽车,豪越 2020款 1.8TD DCT豪华型 5座,自动,|有VIN码||0次过户|,2020,4.9,7.38
本田,凌派 2013款 1.8L 自动舒适版,自动,|有VIN码||0次过户|,2013,12,3.95
奥迪,Q5 2017款 Plus 40 TFSI 技术型,自动,|有VIN码||0次过户|,2017,8.2,14.88
众泰,Z360 2017款 1.5L 手动豪华型,手动,|有VIN码||0次过户|,2018,13,1.98
荣威,i5 2021款 1.5L CVT铂金版,自动,|有VIN码||准新车||0次过户||原厂质保|,2022,2.3,6.28
魏牌,VV7 2017款 VV7c 旗舰型,自动,|有VIN码||0次过户|,2018,7.4,5.68
福特,蒙迪欧致胜 2011款 2.0L GTDi240豪华运动导航版,自动,|有VIN码||0次过户|,2012,12,1.99
福特,蒙迪欧 2013款 2.0L GTDi200时尚型,自动,|有VIN码||0次过户|,2014,9.6,5.68
东风风光,风光330 2018款 1.5L 330S 改款精典型 DK15,手动,|有VIN码||0次过户|,2018,6.75,1.88
铃木,雨燕 2011款 1.5L 自动时尚版,自动,|有VIN码||0次过户|,2012,6.6,2.78
哈弗,H6 2017款 蓝标 运动版 1.5T 手动两驱尊贵型,手动,|有VIN码||0次过户|,2017,12,3.5
福特,领裕 2021款 EcoBoost 225 尊领型 7座,自动,|有VIN码||0次过户||原厂质保|,2021,5.6,11.98
红旗,H5 2020款 1.8T 自动智联旗韵版,自动,|有VIN码||0次过户|,2021,5.4,8.8
北汽幻速,S3 2014款 1.5L 舒适型,手动,|有VIN码|,2014,10,0.98
奔驰,E级 2011款 E 260 L CGI时尚型,自动,|有VIN码|,2012,15,6.68
福特,锐界 2018款 EcoBoost 245 两驱豪锐型 7座 国VI,自动,|有VIN码|,2019,12.3,9.98
宝马,X5(进口) 2017款 xDrive35i 典雅型,自动,|有VIN码||0次过户|,2018,12,32.8
奔驰,S级 2012款 S 300 L 商务型 Grand Edition,自动,|有VIN码||0次过户|,2013,10,18.8
林肯,领航员 2015款 3.5T 自动 平行进口版,自动,|有VIN码||0次过户|,2018,16,30.8
奔驰,GLE 2018款 GLE 320 4MATIC 动感型臻藏版,自动,|有VIN码||0次过户|,2018,13,34.8
宝马,7系 2013款 730Li 领先型,自动,|有VIN码||0次过户|,2014,14,18.8
保时捷,Cayenne 2015款 Cayenne 3.0T,自动,|有VIN码||0次过户|,2015,14,34.8
保时捷,Cayenne 2015款 Cayenne 3.0T,自动,|有VIN码||0次过户|,2015,15,34.8
路虎,发现 2015款 3.0 SC V6 HSE,自动,|有VIN码||0次过户|,2015,11.9,29.8
奔驰,M级 2010款 ML 300 4MATIC,自动,|有VIN码||0次过户|,2012,16,8.8
